NBFC Name,Regional Office,CoR for Public Deposits,Classification-Detailed,Classification-Abbreviated,CIN,Layer,Listing Status,Industry Segment,Year of Incorporation,Incorporation Type-Abbr,Incorporation Type,,AUM (Rs Cr.),State,Region,Entity_Type,Left_Blank,Size_category,Target_Segment
Chhattisgarh Investments Limited,Mumbai,No,Investment and Credit Company,ICC,L67120MH1982PLC331831,Middle,L,Activity of stock brokers,1982,PLC, Public Limited Company,,,Karnataka,South,NBFC,,Medium,No
Cholamandalam Financial Holdings Limited,Chennai,No,Core Investment Company,CIC,L65100TN1949PLC002905,Middle,L,,1949,PLC, Public Limited Company,,,West Bengal,East,NBFC,,Medium,No
Cholamandalam Investment and Finance Company Limited,Chennai,No,Investment and Credit Company,ICC,L65993TN1978PLC007576,Upper,L,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,1978,PLC, Public Limited Company,,,Delhi,North,NBFC,,Medium,No
Crest Ventures Limited ( Earlier Sharyans Resources Ltd.),Mumbai,No,Investment and Credit Company,ICC,L99999MH1982PLC102697,Middle,L,,1982,PLC, Public Limited Company,,,Maharashtra,West,NBFC,,Medium,No
Criss Financial Ltd (Formerly Criss Financial Holdings Ltd),Hyderabad,No,Investment and Credit Company,ICC,U65993TG1992PLC014687,Middle,U,Investment activity of ICICI etc. i.e. accepting funds from pubic in different investment plans like flexi bonds etc.,1992,PLC, Public Limited Company,,4374,Delhi,North,NBFC,,Large,Yes
CSL Finance Limited,New Delhi,No,Investment and Credit Company,ICC,L74899DL1992PLC051462,Middle,L,,1992,PLC, Public Limited Company,,,Delhi,North,NBFC,,Medium,No
Cyrus Engineers Private Limited (Formerly Cyrus Engineers Limited),Mumbai,No,Investment and Credit Company,ICC,U28920MH1979PTC021425,Middle,U,"General mechanical engineering for treatment and coating of metal, on a fee or contract basis",1979,PTC, Private Limited Company,,,Delhi,North,NBFC,,Medium,No
Cyrus Investments Private Limited,Mumbai,No,Investment and Credit Company,ICC,U65920MH1923PTC001053,Middle,U,,1923,PTC, Private Limited Company,,674.298,Uttar Pradesh,South,NBFC,,Medium,No
Deepshikha Trading Company Pvt. Ltd,Kolkata,No,Investment and Credit Company,ICC,U51909WB1983PTC037043,Middle,U,Other wholesale n.e.c.,1983,PTC, Private Limited Company,,13753,Maharashtra,West,NBFC,,Very Large,Yes
Deevee Commercials Ltd,Kolkata,No,Investment and Credit Company,ICC,L51109WB1983PLC035918,Middle,L,Activities of commission agents n.e.c.,1983,PLC, Public Limited Company,,20000,Karnataka,South,NBFC,,Very Large,Yes
